"","AC013A","AC022A","AC046A","AU010A","BR001A","BR003A","BR006A","CM010A","CM014A","CM017A","CM020A","CM048A","EU002B","EU002E","EU009A","EU011A","EU014A","EU015A","EU047A","EU048A","EU051A","EU051B","EU9961","EU9965","EU9999","FR005D","FU002B","FU002F","NA006A","NA032A","NA140A","NA156A","NA158A","NA167A","NE012A","NI005A","PE002A","PI011A","TA001A","TA003A","TA004A"
"00.3",0.55022,1.65066,0,1.84074,2.57103,0.920368,5.69228,0.55022,1.10044,1.47059,1.10044,1.29052,1.83073,0.370148,0.55022,1.29052,0.370148,0.55022,15.2661,3.68147,0.370148,2.21088,0.370148,0,0.370148,0.740296,9.56383,1.65066,0.920368,0.55022,2.94118,5.70228,0.740296,2.57103,0.370148,1.29052,2.02081,1.10044,0.920368,2.57103,14.1557
"00.8",0.970388,1.36054,0.390156,1.55062,2.52101,1.36054,5.43217,0.580232,1.36054,0.190076,0.190076,0.390156,0.580232,0.190076,1.16046,2.33093,0.580232,1.36054,13.5754,3.68147,0.390156,1.55062,0.770308,0.580232,0.580232,0.970388,9.69388,1.16046,0.190076,0.390156,4.84194,6.59264,1.55062,5.04202,0,0.190076,1.94078,0.390156,1.7407,2.13085,12.405
"01.3",0.390273,1.16081,0,1.55109,1.55109,1.16081,4.08286,0.780546,0.580406,0.390273,0.390273,0.780546,1.16081,0,0.390273,0.580406,1.36095,0.580406,12.829,3.88272,0.190133,1.16081,1.36095,0.580406,0.390273,2.1415,14.3801,1.16081,1.16081,0.190133,4.47313,7.18503,1.55109,2.72191,0,0.580406,1.94136,0.390273,1.94136,1.16081,14.5702
"01.8",0.390195,2.51126,0.190095,1.35068,1.35068,0.58029,3.86193,1.54077,1.16058,0.58029,0.190095,0.390195,0.770385,0.390195,0.770385,0.96048,0.390195,0.770385,12.5563,5.02251,0.58029,1.35068,0.190095,0.190095,0.770385,1.54077,8.49425,1.93097,0.390195,0.190095,2.89145,7.34367,2.51126,6.18309,0,0.190095,2.51126,0,1.54077,1.16058,15.2576
"02.3",0.380114,0.950285,0.380114,1.71051,1.52046,0.950285,3.61108,1.71051,0.760228,0.760228,0,0.570171,1.3304,0.190057,0.950285,0.950285,0.760228,0.950285,12.1737,5.70171,0.190057,0.950285,0.760228,0.760228,1.14034,2.09063,9.13274,0.950285,0.570171,0.190057,2.09063,6.46194,1.90057,6.27188,0.570171,0.380114,2.28068,0.760228,1.52046,2.6608,14.6444
"02.8",1.93077,0.770308,0.390156,0.970388,1.7407,0.580232,5.80232,1.16046,0.770308,1.7407,0.390156,0.190076,0.770308,0.390156,0.770308,1.16046,0.190076,1.55062,12.1949,3.67147,0.190076,0.580232,0.970388,1.16046,0.580232,0.970388,11.2245,1.55062,0.190076,0.390156,2.90116,6.19248,1.7407,5.80232,0.190076,0.390156,2.90116,0.390156,2.13085,1.55062,13.5454
"03.3",0.189943,0.939718,0.189943,1.87944,1.3196,0.379886,3.94882,0.749775,1.87944,0.379886,0,0.379886,1.3196,0,1.12966,1.12966,0.559832,1.12966,11.4866,5.45836,0.379886,1.3196,1.87944,0,0.939718,1.12966,7.71768,2.25932,0.939718,0.379886,3.19904,7.15785,1.69949,4.70859,0.189943,0,3.0091,0.749775,1.50955,2.44927,14.4957
"03.8",0.970291,1.74052,0.970291,1.74052,2.13064,0.390117,4.64139,0.770231,0.580174,1.35041,0,0.770231,0.390117,0,1.16035,2.3207,0.580174,0.580174,11.2234,5.80174,0.580174,1.55047,0.970291,0.190057,0.770231,2.13064,7.74232,1.16035,1.35041,0.770231,3.48104,6.58197,1.93058,4.26128,0.580174,0.390117,2.3207,0.580174,1.74052,2.71081,12.5738
"04.3",0.19978,1.75807,0,1.56827,2.53721,0.389571,3.71591,0.978923,0.978923,1.56827,0,0.978923,0.978923,0.19978,0.978923,1.75807,1.16871,1.16871,11.1377,5.47398,0.978923,0.978923,0.589352,0.389571,0.589352,1.95785,10.5584,1.16871,0.389571,0,3.51613,5.47398,1.16871,3.51613,0.19978,0.19978,4.69484,0.389571,2.92678,2.14764,11.3375
"04.8",0.369593,0.749176,0.189791,1.67815,2.41734,0.928978,2.23754,0.559385,0.749176,0.928978,0.749176,0.559385,0.938967,0.559385,0.369593,0.928978,0.189791,2.60713,14.534,5.21426,0.369593,1.30856,0.749176,0.369593,0,2.41734,11.9269,1.86795,0,0.189791,1.30856,5.96344,1.30856,1.86795,0.369593,0.369593,4.65488,0.369593,1.67815,1.30856,13.2354
"05.8",0.559161,1.48777,0.738892,2.22666,2.78582,0.189715,5.38193,0.928607,0.738892,1.29805,0,1.11832,1.48777,0,0.369446,0.738892,0,0.369446,10.3944,5.57164,0.559161,0.559161,1.48777,0.559161,1.11832,2.96555,11.323,1.29805,1.11832,0.559161,3.34498,5.19221,2.04693,3.34498,0.369446,0.189715,2.96555,1.11832,2.04693,0.928607,12.0619
"06.8",0.738744,2.77528,0.369372,1.47749,3.14465,0.189678,6.10961,0.928422,0.189678,1.66717,0.369372,0.189678,1.66717,0.189678,0.369372,1.47749,0.369372,0.928422,11.4605,7.02805,1.29779,0.738744,0.928422,1.10812,0.928422,1.84686,9.98303,1.10812,0.55905,0.369372,3.7037,8.13617,0.369372,2.77528,0.369372,0.189678,4.99151,0.55905,1.84686,2.03654,7.20775
"07.8",0.380228,0.960576,0.190114,1.73104,3.65219,0.190114,5.56334,0.960576,0.770462,0.580348,0.190114,0.580348,1.3408,0.580348,0.580348,1.54092,0.190114,0.770462,14.2085,8.64519,0.770462,1.15069,0.380228,0.380228,0.960576,2.11127,10.1761,2.49149,1.3408,0.190114,1.15069,4.993,0.960576,2.11127,0.380228,0.580348,4.41265,0,2.69162,0.960576,9.79588
"08.8",0.559776,2.41903,0.369852,0.7497,2.60896,0.559776,3.54858,0.559776,0.929628,0.189924,1.4894,0.7497,0.559776,0,0.369852,1.4894,0.559776,0.559776,14.1743,10.066,0.7497,0.369852,1.30948,0.189924,0.559776,1.4894,10.8157,2.97881,1.11955,0.929628,0.7497,7.27709,2.04918,2.04918,0.559776,0.369852,5.21791,0,3.35866,0,7.27709
"09.8",0.19978,0.589352,0,1.95785,3.32634,0.19978,3.91569,1.95785,0.389571,1.1787,0,0.589352,0.978923,0.589352,0.19978,0.589352,0.19978,1.1787,16.8415,9.39966,0.589352,0.389571,0.589352,0,0.19978,1.1787,10.5784,2.93677,2.34742,0.389571,0.39956,6.66267,0.978923,1.1787,1.36849,0.589352,4.50504,0,4.11547,0.19978,9.01009
"11.5",0,1.16093,0.390312,0.970777,4.08327,0.580464,3.69295,0.780624,0.190152,0.580464,0.780624,1.55124,0.970777,0.190152,0.580464,1.36109,0.190152,1.16093,14.7718,10.4884,0.190152,0.190152,1.16093,0,0.390312,1.94155,9.32746,1.7514,0.780624,0.580464,1.16093,7.77622,0.780624,2.33187,0.780624,0.190152,4.08327,0,4.08327,0.970777,7.77622
"13.5",1.35122,1.16104,0.960865,1.93174,4.25383,0.770694,4.05365,0.960865,0.190171,1.35122,0.770694,1.93174,0.960865,1.16104,0.190171,1.93174,0,0.770694,16.8151,5.21469,0.960865,0.190171,0.580522,0.190171,0.960865,1.16104,8.30748,2.70243,0.770694,0.190171,0.580522,5.60504,0.960865,2.12191,0.390351,0.390351,6.37574,0.190171,3.86348,0.580522,7.14643
"15.5",1.6,2,0.4,0,8.4,0,5.2,1.2,0.6,0.8,0,1.2,0.8,0.6,0.2,0.6,0,0.6,13,5.6,0.8,1.2,0.6,0,0.2,4.2,7,1.2,1.6,0.4,0.6,6.6,0.4,1.6,0,1.4,9.2,0.2,4.8,0.6,3.2
"17.5",2.4975,1.96803,1.24875,2.32767,12.5075,0.17982,3.75624,0.719281,0.17982,0.719281,0.35964,1.60839,2.32767,0.889111,0.35964,1.42857,0.17982,0.889111,8.58142,3.57642,0.539461,0.719281,0.719281,0.35964,1.24875,5.005,6.07393,2.14785,0.35964,1.06893,0.539461,3.93606,0,1.24875,0.17982,2.32767,8.04196,0.17982,5.89411,0,1.24875
"19.5",3.17778,2.77806,0.39972,1.58889,14.3,0.19986,5.16638,0.79944,0,0.989307,0,2.18847,1.18917,1.18917,0.19986,0.989307,0.39972,0.989307,7.54472,2.18847,1.38903,0.19986,0,0.59958,0.989307,3.77736,7.74458,2.38833,1.78875,1.38903,0.19986,3.5775,0.79944,0.59958,0.39972,0.79944,5.95583,0.989307,6.35555,0,1.78875
