"","AC001A","AC002A","AC004A","AC013A","AC014A","AC014B","AC014C","AC017A","AC018A","AC019A","AC022A","AC025A","AC028A","AC029A","AC030A","AC034A","AC035A","AC039A","AC042A","AC044A","AC046A","AC048A","AC9964","AC9965","AC9968","AC9969","AC9975","AC9996","AM001A","AM001B","AM001D","AS001A","AS003A","AT001A","AU001C","AU002A","AU003B","AU003D","AU004A","AU004B","AU004C","AU004D","AU005A","AU005B","AU005D","AU005E","AU005J","AU005L","AU009A","AU009B","AU010A","AU010B","AU014A","AU022A","AU023A","AU9983","AU9984","AU9987","AU9988","BR001A","BR003A","BR004A","BR005A","BR006A","BR9997","CA018A","CC001A","CM004A","CM010A","CM013A","CM014A","CM015A","CM015B","CM017A","CM020A","CM031A","CM031C","CM038A","CM048A","CM050A","CM051A","CM052A","CM101B","CM9989","CM9995","CO001A","CO001B","CY001A","CY002A","CY003A","CY004A","CY007A","CY010A","CY013A","CY9991","DE001A","DT002A","DT003A","DT004B","EU002A","EU002B","EU002D","EU002E","EU002K","EU003A","EU004A","EU009A","EU009C","EU011A","EU013A","EU014A","EU015A","EU016A","EU017A","EU019A","EU020A","EU021A","EU022A","EU025A","EU027A","EU028A","EU028B","EU031A","EU034A","EU039A","EU040A","EU046C","EU047A","EU048A","EU049A","EU049B","EU051A","EU051B","EU056A","EU057A","EU058A","EU9961","EU9962","EU9965","EU9969","FR001A","FR001B","FR002A","FR002C","FR005A","FR005D","FR006A","FR007A","FR008A","FR009F","FR010A","FR011A","FR015A","FR018A","FR9991","FU002A","FU002B","FU002F","GO003A","GO004A","GO006C","GO013A","GO023A","GO025B","GO025F","GY005A","HN001A","ME019A","NA002A","NA003A","NA003B","NA005A","NA005B","NA006A","NA006B","NA007A","NA008A","NA013A","NA014A","NA015A","NA016A","NA032A","NA033A","NA037A","NA038A","NA042A","NA043A","NA044A","NA045A","NA046A","NA048A","NA063A","NA068A","NA084A","NA086A","NA099A","NA101A","NA102A","NA112D","NA113A","NA114A","NA115A","NA129A","NA133A","NA135A","NA140A","NA149A","NA151A","NA156A","NA158A","NA160A","NA167A","NA170A","NA9904","NA9919","NA9955","NA9963","NA9964","NE003A","NE003B","NE003C","NE004A","NE012A","NE020A","NE023A","NI002A","NI005A","NI008A","NI009A","NI009B","NI017A","NI021A","NI026A","NI027A","NI152A","NI9984","OP001A","PE002A","PI005A","PI007A","PI011A","PI014A","PI015A","PI016A","PI018A","PI018B","PI022B","PI023A","PI055A","PI056A","PI139A","PI164A","RH006B","SA001A","SA001B","SA006A","SA042A","SE001A","SP002A","ST004A","ST010A","SU002A","SU004A","SU005A","SU006A","SY002A","SY003A","SY004A","SY009A","SY010A","SY013A","SY043A","TA001A","TA002A","TA003A","TA004A","TA9996"
"1.21",0,0,0,0.19,0,0,0.57,0.96,0,0,6.31,0,0,0,0,0,0,0,0,0.76,0,0,0,0,0,0,0,0,0,0,0,0,0.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.15,0,0.19,0,2.87,0,0,0,0,0.96,0,0,0,0,0.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.53,0,0,0.76,0.19,2.29,3.25,0,0,0,0,0.19,0,0.19,0,0.57,0,0,0,0.19,3.06,0,0,0,0.19,0,0,8.8,4.01,0,0,0.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.57,0,0,0,0,0,0,0.76,0,0.38,0.76,5.35,0,0,0,0,0.19,0,0,0,0,0,0,0,0,0,0,0,0.96,0,0,0,0,0,0,0,0,0.19,0,0.76,0,0,0,0,0,0.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.53,0,0,9.94,0,0,1.53,0,0,0,0,0,0,0,0.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.38,0,0,0,0,0,0,0.19,0,0.57,0,0,0,0,1.15,0,0,0,0,0,3.44,0,0,0,0,0,0.19,0.38,0,0,0,0,0,0,0,0.96,0,11.28,2.49,0
"10.21",0,0,0,4.06,0,0,1.01,0,0,1.18,0,0,0,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.49,0,0.34,0,8.46,0,0,0,0,0.85,0,0,0.51,0,0.51,0,0,1.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.78,0,0,0,0,0.51,0.51,0,0,0,0.17,2.2,1.69,0,0,0,0,0,0,0,0,0.85,0,0,0,0,0,0,0,0,0,0,0,2.88,0.68,0,0,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,4.57,0,0,0,0,0,0,0,0,0,2.71,10.49,0,0,0.51,0,0,0,0,0,0,0,0,0,4.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.51,0,0,0,0,0,0.17,3.38,0,0,0,0,0,0,0.51,0,0,0,0,0,0,0,0,0,0.68,0,0.17,0,0,0,1.01,0,0,1.52,0,0,0,0,0,0,1.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.68,0.51,0,0,0,0.17,0,0,0.68,3.72,0,0,0.34,0
"11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,2.99,1.4,0,7.98,2.2,0,0,0,1.4,0,0,0,0,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,1.8,0,0.2,0,0,0,0.4,0.2,0,0,0,0,0,0,0.2,0,0,0,0,1.2,1.4,0,0,0.2,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.38,32.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6,0,0,0,0,0,0,0,0,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,1.2,0,0,4.39,0,0,4.79,0,0,0,0,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0.2,0,0.2,0,0.8,0,0,0,0,0.6,0,0,0,0,0,0,0,2.99,0.4,0,0,0,0,0,0.4,0,0,0,0,0,0,0,1.4,0,0.8,4.19,0
"113.21",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.31,0,0.57,0,0,0,0,0,0,4.26,0,0,4.55,0,0.28,0,1.42,0,0.57,0.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.85,0,0,0,0,1.42,1.42,0,0,0,0,0,0,0.85,0,1.42,0,0,0,0,0,0,0,0,0,0,0,0.85,0,0.57,0,0.85,0,0,0,0,0,0,0,0,0,0,0,0,0,1.14,0,0,0,0,0,0,0,0,0,0.85,6.25,0,0.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.85,0,0,0,0,0,0,0,1.71,0,0,0,3.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.42,0,0,3.41,0,0,0,0,0,0,0.28,0,0,0.28,0,0.28,0,1.14,0,0.28,2.27,1.71,0,1.71,0,1.14,0,0,0,0,0,0,0,2.84,0,0,0,0,0,0,0,0,0,1.14,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,7.39,0,0,0,0
"115.11",0,0,0,0,0,0,0,0,0,0.31,0,0.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16,0,0,0,0,3.13,0,0,0,0.16,0,0,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,5.79,1.41,0.78,0,4.38,0,0,0,0.47,0.78,0,0,0,0,0.16,0,0,0,0,3.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.91,0,0,0,0,0,0.47,0,0,0,0,2.82,0.78,0,0,0,0,0.47,0,0,0,2.19,0,0,0,0,0,0,0,0,0.47,0,0,2.5,1.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.31,0,0,0,0,0,0,0,0,0,6.89,18.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.31,0,0,0,0,0.16,0,0,0.63,0,0,0,0,0,0.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.03,0,0,2.97,0,0,0,0,0,0,0.16,0,0,0,0,0,0,0,0,0.31,0,1.25,0,0.47,0,0,0,0,0,0,0.47,0,0.78,0,0.78,0,0,0,0,0,0,0,0,0,0,0.16,0,0,0.47,0.94,0.16,0,0,0,0,0.16,0.47,0,0,0,0,0,0,0,2.66,0,0,0,0
"12.11",0,0,0,0,0,0,4.03,0,0,0,11.94,0,0,0,0,0,0,0,0,0.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.98,0,0,7.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.15,0,0,2.54,0,0,0,0.6,0,0,0,0,0,1.19,0,0,2.39,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.93,0,0,0,0,0,0,0,0,0,0,0,4.63,0,0,0.3,0,0,0,0,0,1.04,0,0,0,0,0,0,0,0,1.79,0,0,2.84,6.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,5.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,7.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0,0,0,0,0.3,0,0,0,0,0,0,0,0,1.19,0,0,0,0,0.45,0,1.19,0,2.39,0,0,0,0,0,0,0,0,0,0.15,0.15,0,0,0,0,0,0.3,0.75,0,0,0,0,0,0,0,2.39,0,0.15,0,0
"121",0,0,0,0,0,0,0.2,0,0,0,3.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.01,0,0,0,0,0,0,0,0,0,0,0,0,4.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,10.66,0,0,0,0.2,0.6,0,0,0,0,0,0.2,0,0,0,0,0,0,0.2,0,0,19.11,5.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,1.01,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,1.21,0,0,2.01,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.61,0,0,0.2,0,0,0,2.62,0,0.2,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0,0,0,0,1.41,0,0,0,0,0,0,0,8.45,0,2.41,3.02,0
"15.11",0,0,0,0.33,0,0,0.17,0,0,0,4.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.66,0,0,0,1.33,0,0,0,0,0,0,1.66,0,0,0.33,0,0,0,0,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.83,0,0,0,0,0.33,1.83,0,0,0.5,0,3.16,4.99,0,0,0,0,0.5,0,0,0,1.16,0,0,0,0,0,0,0,0,0,0,0.33,7.49,1.66,0,0,0.5,0,0,0,0,0,0,0,0,0.17,0,0,0,0,0.17,0,0,0,0,0,0,0,0,0,1.83,5.49,0,0.17,0,0,0,0,0,0,0,0,0,0,0.17,0,0,0,0.67,0,0,0,0,0,0,0,0,0,0,0,0,0.33,0,0,0,0,0,0,0,0,0.17,0,0,0,0,0,0,0,0,0,0,0,0,2.99,0,0,2.99,0,0,0,0,0,0,0.67,0,0,1,0,0,0,0,0,0,0,0.33,0,0,0,0,0,0,0,3.16,0,0,0.33,1.16,0,0,0.5,0.17,0,0,0,0,0,0,0,0,0,0,0.33,0,0.17,0,0,0,0,0,0.5,0,0,0,0,0,0,0,27.29,0,0.33,0.33,0
"17.21",0,0,0,0.35,0,0,0,0,0,0,0.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17,0,0,0,0,0.17,0,0,0,0,0,0,0,0,1.56,0,0,2.77,0,0,0,0,0,0,0,0,0,0,0,0,0,2.25,1.56,0,0,3.63,0,0,0,0.17,0,0,0,0,0,0.69,0,0,0,0,0.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.52,0,0,0,0,0,0.52,0,0,0,0,0.52,5.54,0,0,0,0.35,0.35,0,0,0,1.38,0,0,0,0,0.87,0,0,0,0,0,0,5.54,4.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.69,0,0,0,0,0,0,0.52,0,0.17,0,10.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35,0,0,0,0,0,0,0,0.69,0,0,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.52,0,0,0.52,0,0,0,0,0,0,0,0.35,0,0,0,0,0,0,0,0,0.35,0,0,0.35,0,0,0,0,0,1.73,2.25,0,0.87,0,0,0,0,0,0,0,0,0,0,0,0.35,0.35,0,0.35,0,0.87,0.69,0,0,0,0,3.63,0,0,0,0,0,0,0.35,0,2.42,0,0,2.25,0
"18.11",0,0,0,1.5,0,0,9.85,0,0,0.33,13.52,0,0,8.01,0,0,0,0,0,7.51,0,0,0,0,0,0,0,0,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,2.84,0,0,0,0,1.5,0,0,0,0,1.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.18,0,0,0,0,0.17,0,0,0,0,0,1.67,3.01,0,0,0,0,0,0,0,0,0.17,0.5,0,0,0,0,0,0,0,0,0,0,3.34,0.5,0,0,0.17,0,0,0,0,0,0,0,0,0.33,0,0,0,0,0,0,4.84,0,0,0,0,0,0,0,0.67,3.17,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.34,0,0,0,0,0,0,0,0.67,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.18,0,0,0,0,0,0,0,0,0.33,0,0,0,0,0,0,0,0.17,0,0,0.5,0,0,0.33,0,0,0,0,0,0,0,0,0,0,0,0.17,0,0,0,0,0,0,0.17,2,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.17,0,0,0,0,0,0,0,3.01,0,0,0,0
